ID TIME cluster
8 1676835535.975 (-25605, 74275, 1676833539, 3, 1, 3197651256679488400, 3197651256679488400, 0, '0x0fa9077350FC3Ee6924743e1AD9b735c657C455E', 1, -25605, 74275) 0
8 1676835535.975 (-14650, -87282, 1676835540, 1, 10, 56447206908083415400, 56447206908083415400, 1, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 1, -14650, -87282) 1
8 1676835535.975 (-13066, -76155, 1676835540, 1, 10, 42476428805114072600, 42476428805114072600, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -13066, -76155) 1
8 1676835535.976 (-10853, 67631, 1676835540, 1, 10, 63028792961088113500, 63028792961088113500, 1, '0x633462025cF12D347C0dF50B2114E65aa364f0a6', 1, -10853, 67631) 1
8 1676835535.976 (-13651, -80260, 1676835540, 1, 10, 48023546591393820100, 48023546591393820100, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -13651, -80260) 1
8 1676835535.977 (-16793, -84275, 1676835540, 1, 10, 56541425116934740300, 53101651567584794600, 1, '0xBa1CD5ded4B25dF273d435c969a01dc0B577c95c', 1, -16427, -84220) 1
8 1676835535.977 (-9259, -85578, 1676835540, 1, 10, 40587302792257022600, 38699278917468908600, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -9339, -85209) 1
8 1676835535.977 (-7180, 66607, 1676835540, 1, 10, 54746192450947511300, 39649648530667993700, 1, '0xA4b1B07974bF67f04EC51bEcABF4aD62106B1Dd0', 1, -7123, 67648) 1
8 1676835535.978 (-16836, -78583, 1676835540, 1, 10, 55564928505617831900, 54010605947589306800, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -16780, -78582) 1
8 1676835535.978 (-14336, -95809, 1676835540, 1, 10, 44309361428411293100, 44309361428411293100, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -14336, -95809) 1
8 1676835535.978 (-8836, 69188, 1676835540, 1, 10, 62429810002878473500, 60591797340271508700, 1, '0x26CbcaC5281B6E159bc3e6C7400AF25fA46F246B', 1, -8824, 69114) 1
8 1676835535.979 (-15493, -81543, 1676835540, 1, 10, 53060038755916004550, 49889990403741781850, 0, '0xc72B1b70e69D270544369132d53529e37Be87742', 0, -15380, -81415) 1
