ID TIME pos
15 1.215 [-0.18016903950214336, 0.2715284978390742] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
15 237.563 [0.23347666666666664, 0.32332] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701500000000001, 0.34098000000000006], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 242.571 [0.23347666666666664, 0.32332] [0.3372997208369236, 0.38856165518113756] [[0, 0], [0.2701500000000001, 0.34098000000000006], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 247.58 [0.23514733333333332, 0.32380200000000003] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2701500000000001, 0.34098000000000006], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 252.588 [0.23556486634666668, 0.32392246144000003] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2661600000000002, 0.33802999999999983], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 257.695 [0.23556499995723096, 0.3239224999876608] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.26460000000000017, 0.3359700000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 262.803 [0.23556499999998634, 0.323922499999996] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646799999999998, 0.3359700000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23526999999999987, 0.32292999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 267.811 [0.23838159840000003, 0.3204836008] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646799999999998, 0.3359700000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.24653999999999998, 0.30916999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 272.917 [0.23838249971148806, 0.320482500352256] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646799999999998, 0.3359700000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.24653999999999998, 0.30916999999999994], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 277.925 [0.23648305999990776, 0.3237092200001127] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.33621999999999996], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23861, 0.3226399999999998], [0.32014999999999993, 0.35345000000000004], [0.18320999999999987, 0.3761899999999998], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2418300000000002, 0.3257300000000001], [0, 0], [0, 0]]
15 282.933 [0.2354546473792, 0.32411607015039995] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23740000000000006, 0.3244699999999998], [0.32014999999999993, 0.35345000000000004], [0.25690999999999997, 0.3289599999999999], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.23922, 0.3250099999999998], [0, 0], [0, 0]]
15 287.941 [0.23516608468716144, 0.3241173299424481] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23701000000000016, 0.32453999999999983], [0.25814000000000004, 0.32972], [0.25355000000000016, 0.3282099999999999], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0, 0], [0.2384400000000002, 0.3248899999999999], [0, 0], [0, 0]]
15 292.95 [0.23797766779346063, 0.3246972254314709] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0, 0], [0.23695999999999984, 0.3245300000000002], [0.25837999999999983, 0.32972], [0.24691000000000018, 0.3265600000000002], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0.2611699999999999, 0.32855999999999996], [0.24101000000000017, 0.3254299999999999], [0, 0], [0, 0]]
15 297.956 [0.24102966244133525, 0.3254774467841085] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0.26313999999999993, 0.3272499999999998], [0.23695999999999984, 0.3245300000000002], [0.25766, 0.32947000000000015], [0.24691000000000018, 0.3265600000000002], [0, 0], [0.23367000000000004, 0.32294], [0.23148999999999997, 0.32409], [0.26037, 0.32902999999999993], [0.24225999999999992, 0.3259400000000001], [0, 0], [0, 0]]
15 302.964 [0.24578242634988048, 0.32700751040916204] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0.2596099999999999, 0.3271799999999998], [0.23695999999999984, 0.3245300000000002], [0.25766, 0.32947000000000015], [0.24691000000000018, 0.3265600000000002], [0, 0], [0.23367000000000004, 0.32294], [0.25233000000000017, 0.30481999999999987], [0.2602899999999999, 0.3289900000000001], [0.24225999999999992, 0.3259400000000001], [0, 0], [0, 0]]
15 307.972 [0.24590162149261321, 0.3263419454697692] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0.25969, 0.32706999999999997], [0.23695999999999984, 0.3245300000000002], [0.25766, 0.32947000000000015], [0.24691000000000018, 0.3265600000000002], [0, 0], [0.23367000000000004, 0.32294], [0.2526999999999999, 0.3048799999999998], [0.2579500000000001, 0.32860999999999985], [0.24225999999999992, 0.3259400000000001], [0, 0], [0, 0]]
15 312.979 [0.24590166666397886, 0.3263416666832553] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0.25969, 0.32706999999999997], [0.23695999999999984, 0.3245300000000002], [0.25766, 0.32947000000000015], [0.24691000000000018, 0.3265600000000002], [0, 0], [0.23367000000000004, 0.32294], [0.2526999999999999, 0.3048799999999998], [0.2579500000000001, 0.32860999999999985], [0.24225999999999992, 0.3259400000000001], [0, 0], [0, 0]]
15 317.986 [0.24590166666666652, 0.32634166666666775] [0.3372997208369236, 0.38856165518113756] [[0.26046000000000014, 0.33138999999999985], [0.2646099999999998, 0.3362400000000001], [0.2573099999999999, 0.33263], [0, 0], [0.25969, 0.32706999999999997], [0.23695999999999984, 0.3245300000000002], [0.25766, 0.32947000000000015], [0.24691000000000018, 0.3265600000000002], [0, 0], [0.23367000000000004, 0.32294], [0.2526999999999999, 0.3048799999999998], [0.2579500000000001, 0.32860999999999985], [0.24225999999999992, 0.3259400000000001], [0, 0], [0, 0]]
