ID TIME pos
13 511.166 [0.4322336695218852, 0.37909359509406404] [0.445992151382498, 0.4043407707571747]
13 516.174 [0.4322310028552185, 0.37909159509406415] [0.445992151382498, 0.4043407707571747]
13 521.179 [0.4323210028552185, 0.3789689284273975] [0.445992151382498, 0.4043407707571747]
13 526.189 [0.4323870028552185, 0.37897159509406403] [0.445992151382498, 0.4043407707571747]
13 531.197 [0.4323196695218853, 0.3789602617607307] [0.445992151382498, 0.4043407707571747]
13 536.297 [0.4323196695218853, 0.3789602617607307] [0.445992151382498, 0.4043407707571747]
13 541.303 [0.4323196695218853, 0.3789602617607307] [0.445992151382498, 0.4043407707571747]
13 546.314 [0.4323196695218853, 0.3789602617607307] [0.445992151382498, 0.4043407707571747]
13 551.321 [0.4323196695218853, 0.3789509284273974] [0.445992151382498, 0.4043407707571747]
13 556.424 [0.4323196695218853, 0.3789509284273974] [0.445992151382498, 0.4043407707571747]
13 561.429 [0.4317123361885518, 0.3784882617607307] [0.445992151382498, 0.4043407707571747]
13 566.438 [0.4317123361885518, 0.3784882617607307] [0.445992151382498, 0.4043407707571747]
13 571.443 [0.4317123361885518, 0.3784882617607307] [0.445992151382498, 0.4043407707571747]
13 576.451 [0.4317123361885518, 0.37848559509406404] [0.445992151382498, 0.4043407707571747]
13 581.46 [0.4317263361885519, 0.37846292842739737] [0.445992151382498, 0.4043407707571747]
13 586.472 [0.4317263361885519, 0.37846292842739737] [0.445992151382498, 0.4043407707571747]
13 591.562 [0.4317263361885519, 0.37846292842739737] [0.445992151382498, 0.4043407707571747]
13 596.576 [0.4317263361885519, 0.37846292842739737] [0.445992151382498, 0.4043407707571747]
