ID TIME pos
2 1.206 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
2 141.517 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 146.525 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 151.533 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.18243999999999994, 0.15859999999999985], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 156.54 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 161.548 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 166.555 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.24506000000000006, -0.11837000000000009], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 171.563 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.27771999999999997, -0.1433899999999999], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 176.571 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.27771999999999997, -0.1433899999999999], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 181.579 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.2968200000000001, -0.14203999999999994], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
2 186.587 [-0.408740265658495, 0.32402202235864097] [-0.42063277130325205, 0.32188496079330997] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [-0.2968200000000001, -0.14203999999999994], [0, 0], [-0.36529999999999996, -0.12475999999999998], [0, 0], [0, 0], [0, 0], [-0.44395000000000007, -0.4175], [0, 0], [0, 0]]
