ID TIME pos
1 1.204 [0, 0] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
1 211.526 [0.48885909090909085, -0.3159590909090909] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 216.534 [0.48885909090909085, -0.3159590909090909] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 221.541 [0.48885909090909085, -0.3159590909090909] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.4605999999999999, -0.28153000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 226.549 [0.49206825757575756, -0.3184882575757576] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.49910999999999994, -0.31187999999999994], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 231.556 [0.4926980897081467, -0.31896634949788444] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.5028299999999999, -0.31461000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 236.564 [0.4926981818178116, -0.3189663636363068] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4224199999999998, -0.32448999999999995], [0.5028299999999999, -0.31461000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 241.571 [0.4989695634732745, -0.3192462358392958] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4914200000000002, -0.3275699999999999], [0.5028299999999999, -0.31461000000000006], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0, 0], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0, 0], [0, 0]]
1 246.579 [0.49193484652238745, -0.31300740900088003] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.48892999999999986, -0.3234699999999999], [0.49875999999999987, -0.31111], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0.4469099999999999, -0.2813399999999999], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.4626299999999999, -0.28113999999999995], [0, 0]]
1 251.587 [0.4915793385286758, -0.31257421334378727] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4873599999999998, -0.32095000000000007], [0.4990800000000002, -0.31062999999999996], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.5871400000000002, -0.3773200000000001], [0.4469099999999999, -0.2813399999999999], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.46275999999999984, -0.28101], [0, 0]]
1 256.595 [0.48134530645590096, -0.3075924277351203] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.4561899999999999, -0.3138099999999999], [0.4469099999999999, -0.2813399999999999], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.44053999999999993, -0.30245999999999995], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.4628000000000001, -0.28075000000000006], [0, 0]]
1 261.603 [0.4807811263820626, -0.3075020408208406] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.4561299999999999, -0.31379], [0.4469099999999999, -0.2813399999999999], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.4333100000000001, -0.3013300000000001], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.4628800000000002, -0.28082000000000007], [0, 0]]
1 266.61 [0.48089460091242936, -0.3079161386290698] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.45614, -0.31417000000000006], [0.4469099999999999, -0.2813399999999999], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.43482999999999983, -0.30257], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.46274000000000015, -0.28451000000000004], [0, 0]]
1 271.618 [0.4807207346096662, -0.3073094881779734] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.45614, -0.31417000000000006], [0.4469099999999999, -0.2813399999999999], [0.4409900000000002, -0.3762000000000001], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.43823999999999996, -0.3043499999999999], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.46274000000000015, -0.28451000000000004], [0.47526, -0.29777999999999993]]
1 276.626 [0.48135404183800445, -0.30126225173265936] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.45614, -0.31417000000000006], [0.4469099999999999, -0.2813399999999999], [0.4476399999999998, -0.29942], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.4392299999999998, -0.2983100000000001], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.46274000000000015, -0.28451000000000004], [0.4767600000000001, -0.2902800000000001]]
1 281.634 [0.48173070737651597, -0.30068648295275946] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.45614, -0.31417000000000006], [0.4469099999999999, -0.2813399999999999], [0.4514999999999998, -0.29869999999999997], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.4397000000000002, -0.2972300000000001], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.46274000000000015, -0.28451000000000004], [0.47722, -0.2895399999999999]]
1 286.641 [0.4817449930412607, -0.3005965490389899] [0.41690837392480345, -0.3129404050354931] [[0, 0], [0.4875799999999999, -0.32098000000000004], [0.49668, -0.30959000000000003], [0.4575100000000001, -0.29616], [0.30977999999999994, -0.31699999999999995], [0.45614, -0.31417000000000006], [0.4469099999999999, -0.2813399999999999], [0.45167, -0.2975699999999999], [0.33316999999999997, -0.25140000000000007], [0.45340999999999987, -0.29180000000000006], [0.4397099999999998, -0.2971999999999999], [0.6166499999999999, -0.13049], [0.8552399999999998, -0.5267], [0.46274000000000015, -0.28451000000000004], [0.4772400000000001, -0.2894399999999999]]
