ID TIME pos
13 1.214 [0, 0] [0.44579416782693865, 0.22931574734067084] [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
13 307.477 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 312.486 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 317.492 [0.4978562469665304, 0.18610177753890786] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0, 0], [0.51065, 0.1432699999999998], [0, 0], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 322.598 [0.501137133777213, 0.19523086631851147] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50516, 0.23476000000000008], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 327.605 [0.5011499874353293, 0.19526663170538927] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50894, 0.21936], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 332.613 [0.5011499999877298, 0.1952666666325249] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.50149, 0.20004], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 337.619 [0.501149999999988, 0.19526666666663345] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5026199999999998, 0.20021999999999984], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 342.626 [0.50115, 0.19526666666666675] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5026199999999998, 0.20021999999999984], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 347.634 [0.50115, 0.19526666666666675] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5026199999999998, 0.20021999999999984], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 352.641 [0.50115, 0.19526666666666675] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5026199999999998, 0.20021999999999984], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 357.75 [0.50115, 0.19526666666666675] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.5026199999999998, 0.20021999999999984], [0, 0], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 362.756 [0.5009091999999999, 0.19621346666666672] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.4996499999999999, 0.1990099999999999], [0.67943, 0.3910100000000001], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 367.764 [0.5005526749439999, 0.19612255150933341] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.49875999999999987, 0.19869000000000003], [0.5154000000000001, 0.25923000000000007], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 372.771 [0.5005525000559821, 0.19612250001648307] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.49875999999999987, 0.19869000000000003], [0.5149499999999998, 0.25886999999999993], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 377.778 [0.5005525000000179, 0.19612250000000536] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.49875999999999987, 0.19869000000000003], [0.5149499999999998, 0.25886999999999993], [0, 0], [0, 0], [0.4999199999999999, 0.19247000000000014]]
13 382.785 [0.5017991399999999, 0.19556346000000008] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.49875999999999987, 0.19869000000000003], [0.5149499999999998, 0.25886999999999993], [0, 0], [0, 0], [0.5050400000000002, 0.19037000000000015]]
13 387.792 [0.5019071837247999, 0.19567218350720003] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.49875999999999987, 0.19869000000000003], [0.5149499999999998, 0.25886999999999993], [0, 0], [0, 0], [0.5053399999999999, 0.1906699999999999]]
13 392.8 [0.5019099958987919, 0.19567499589872234] [0.44579416782693865, 0.22931574734067084] [[0.5019900000000002, 0.19884000000000013], [0.4349400000000001, 0.17745999999999995], [0.5015399999999999, 0.19449000000000005], [0.51065, 0.1432699999999998], [0.50501, 0.23459999999999992], [0, 0], [0, 0], [0, 0], [0.52346, 0.10046], [0, 0], [0.49875999999999987, 0.19869000000000003], [0.5149499999999998, 0.25886999999999993], [0, 0], [0, 0], [0.50535, 0.19067999999999996]]
