ID TIME pos
3 216.573 [0.1576392133236226, 0.3208654615809229] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.11375000000000002, 0.28783000000000003], [0.18062999999999985, 0.34457000000000004], [0, 0], [0, 0], [0.11228000000000016, 0.2696900000000002], [0, 0], [0.34133000000000013, 0.6515599999999999], [0.1554500000000001, 0.3186300000000002], [-0.44670999999999994, -0.3792199999999999]]
3 221.581 [0.12861864622595623, 0.2726730166308273] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08301999999999987, 0.23123000000000005], [0.15637999999999996, 0.3083100000000001], [0.12706000000000017, 0.28786999999999985], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.13236999999999988, 0.2791899999999998], [-0.44670999999999994, -0.3792199999999999]]
3 226.59 [0.12609350779208392, 0.26839942027729213] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.13236999999999988, 0.2791899999999998], [-0.44670999999999994, -0.3792199999999999]]
3 231.599 [0.12609333333380318, 0.2683991666673497] [0.25217860361336536, 0.43175508481669145] [[0.2926700000000002, 0.43065], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.13236999999999988, 0.2791899999999998], [-0.44670999999999994, -0.3792199999999999]]
3 236.608 [0.11770883524152978, 0.2611568407677135] [0.25217860361336536, 0.43175508481669145] [[0.19202999999999992, 0.3437199999999998], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.13236999999999988, 0.2791899999999998], [-0.44670999999999994, -0.3792199999999999]]
3 241.616 [0.11568935067139761, 0.25850846131448957] [0.25217860361336536, 0.43175508481669145] [[0.18596000000000013, 0.33489000000000013], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11271999999999993, 0.2543500000000001], [-0.44670999999999994, -0.3792199999999999]]
3 246.625 [0.11543133864454934, 0.25818357927152225] [0.25217860361336536, 0.43175508481669145] [[0.18531999999999993, 0.33419], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.1117499999999998, 0.25302999999999987], [-0.44670999999999994, -0.3792199999999999]]
3 251.633 [0.11542417161470495, 0.25817416709601115] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 256.641 [0.11542416666667998, 0.2581741666666678] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14598999999999984, 0.31603000000000003], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
3 261.65 [0.11521098960703992, 0.2576028557881961] [0.25217860361336536, 0.43175508481669145] [[0.1852800000000001, 0.33413000000000004], [0.3036599999999998, 0.3837799999999998], [0, 0], [0.14338000000000006, 0.30909999999999993], [0.3056700000000001, 0.4666999999999999], [0.22522999999999982, 0.4346899999999998], [0.08228999999999997, 0.22990000000000022], [0.12862000000000018, 0.26053000000000015], [0.1257999999999999, 0.28641000000000005], [0, 0], [0.11421999999999999, 0.27005999999999997], [0, 0], [0.10331000000000001, 0.24207], [0.11173000000000011, 0.2530100000000002], [-0.44670999999999994, -0.3792199999999999]]
