ID TIME FPS
5 1161.111 0.96
5 1162.091 0.98
5 1163.113 1.02
5 1164.123 1.01
5 1165.117 0.99
5 1166.091 0.97
5 1167.134 1.04
5 1168.086 0.95
5 1169.093 1.01
5 1170.088 0.99
5 1171.133 1.04
5 1172.115 0.98
5 1173.092 0.97
5 1174.09 0.99
5 1175.126 1.04
5 1176.106 0.98
5 1177.133 1.03
5 1178.111 0.98
5 1179.133 1.02
5 1180.104 0.97
5 1181.101 0.98
5 1182.134 1.03
5 1183.102 0.97
5 1184.12 1.02
5 1185.095 0.97
5 1186.121 1.03
5 1187.104 0.98
5 1188.099 0.99
5 1189.132 1.03
5 1190.122 0.99
5 1191.135 1.01
5 1192.126 0.99
5 1193.107 0.98
5 1194.127 1.02
5 1195.1 0.97
5 1196.099 1.0
5 1197.093 0.99
5 1198.111 1.02
5 1199.14 1.03
5 1200.091 0.95
5 1201.115 1.02
5 1202.128 1.01
5 1203.089 0.96
5 1204.131 1.04
5 1205.092 0.96
5 1206.133 1.04
5 1207.107 0.97
5 1208.142 1.03
5 1209.092 0.95
5 1210.137 1.05
5 1211.103 0.96
5 1212.097 0.99
5 1213.147 1.05
5 1214.133 0.98
5 1215.112 0.98
5 1216.094 0.98
5 1217.13 1.03
5 1218.121 0.99
5 1219.094 0.97
5 1220.139 1.04
5 1221.093 0.95
5 1222.122 1.03
5 1223.108 0.98
5 1224.098 0.99
5 1225.121 1.02
5 1226.096 0.97
5 1227.134 1.04
5 1228.1 0.97
5 1229.103 1.0
5 1230.133 1.03
5 1231.097 0.96
5 1232.132 1.03
5 1233.122 0.99
5 1234.108 0.99
5 1235.095 0.99
5 1236.095 1.0
5 1237.146 1.05
5 1238.127 0.98
5 1239.146 1.0
5 1240.112 0.97
5 1241.108 0.99
5 1242.094 0.99
5 1243.108 1.01
5 1244.118 1.01
5 1245.097 0.98
5 1246.115 1.02
5 1247.121 1.01
5 1248.093 0.97
5 1249.125 1.03
5 1250.149 1.02
5 1251.131 0.98
5 1252.1 0.97
5 1253.101 1.0
5 1254.135 1.03
5 1255.092 0.96
5 1256.132 1.04
5 1257.101 0.97
5 1258.106 1.0
5 1259.165 1.06
5 1260.097 0.93
5 1261.135 1.04
5 1262.119 0.98
5 1263.138 1.01
5 1264.099 0.96
5 1265.119 1.02
5 1266.148 1.03
5 1267.098 0.95
5 1268.126 1.03
5 1269.137 1.01
5 1270.127 0.99
5 1271.141 1.01
5 1272.099 0.96
5 1273.132 1.03
5 1274.141 1.01
5 1275.122 0.98
5 1276.133 1.01
5 1277.149 1.01
5 1278.129 0.98
5 1279.102 0.97
5 1280.146 1.04
5 1281.133 0.99
5 1282.117 0.98
5 1283.101 0.98
5 1284.138 1.04
5 1285.121 0.98
5 1286.105 0.98
5 1287.127 1.02
5 1288.11 0.98
5 1289.102 0.99
5 1290.131 1.03
5 1291.102 0.97
5 1292.122 1.02
5 1293.149 1.03
5 1294.129 0.98
5 1295.095 0.97
5 1296.126 1.03
5 1297.109 0.98
5 1298.106 0.99
5 1299.137 1.03
5 1300.136 0.99
5 1301.133 1.0
5 1302.103 0.97
5 1303.144 1.04
5 1304.117 0.97
5 1305.115 1.0
5 1306.148 1.03
5 1307.1 0.95
5 1308.112 1.01
5 1309.152 1.04
5 1310.098 0.94
5 1311.131 1.03
5 1312.175 1.04
5 1313.1 0.93
5 1314.111 1.01
5 1315.137 1.03
5 1316.187 1.05
5 1317.101 0.91
5 1318.131 1.03
5 1319.1 0.97
5 1320.11 1.01
5 1321.101 0.99
5 1322.138 1.04
5 1323.13 0.99
5 1324.117 0.98
5 1325.115 1.0
5 1326.115 1.0
5 1327.153 1.04
5 1328.104 0.95
5 1329.11 1.01
5 1330.102 0.99
5 1331.13 1.03
5 1332.109 0.98
5 1333.116 1.0
5 1334.105 0.99
5 1335.179 1.07
5 1336.126 0.95
5 1337.134 1.0
5 1338.118 0.98
5 1339.131 1.01
5 1340.142 1.01
5 1341.105 0.96
5 1342.108 1.0
5 1343.138 1.03
5 1344.128 0.99
5 1345.105 0.97
5 1346.144 1.04
5 1347.137 0.99
