ID TIME pos
5 256.79 [-0.06619958472571512, -0.26157375847534997] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 261.798 [-0.06619999994659542, -0.26157399996893976] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 266.806 [-0.06619999999999317, -0.26157399999999603] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 271.813 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 276.82 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 281.829 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 286.836 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0, 0], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 291.843 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0.1784300000000001, -0.1977500000000001], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 296.85 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0.03981000000000012, -0.17713], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
5 301.857 [-0.06620000000000004, -0.26157400000000003] [0.4169125013583713, -0.2787178901987184] [[-0.0712299999999999, -0.27484], [0, 0], [-0.07661000000000007, -0.2883], [0, 0], [0, 0], [0.039759999999999796, -0.17713], [0.1533199999999999, -0.24547000000000008], [0.07177999999999995, -0.13588], [0, 0], [0, 0], [0, 0], [0, 0], [-0.40826000000000007, -0.36338000000000004], [0, 0], [0, 0]]
