ID TIME ETH
11 17698.0 30.793034697430876037
11 17703.063 30.793034697430876037
11 17708.091 30.793034697430876037
11 17713.165 30.793034697430876037
11 17718.285 30.793034697430876037
11 17723.37 30.793034697430876037
11 17728.441 30.793034697430876037
11 17733.639 20.862023131620584025
11 17738.645 20.862023131620584025
11 17743.688 20.862023131620584025
11 17748.979 20.862023131620584025
11 17753.99 20.862023131620584025
11 17759.047 20.862023131620584025
11 17764.123 20.862023131620584025
11 17769.183 20.862023131620584025
11 17774.462 20.862023131620584025
11 17779.778 20.862023131620584025
11 17784.941 20.862023131620584025
11 17790.272 20.862023131620584025
11 17795.284 20.862023131620584025
11 17800.384 20.862023131620584025
11 17805.494 20.862023131620584025
11 17810.657 20.862023131620584025
11 17815.772 20.862023131620584025
11 17820.82 30.793034697430876037
11 17826.122 30.793034697430876037
11 17831.395 30.793034697430876037
11 17836.426 30.793034697430876037
11 17841.54 30.793034697430876037
11 17846.572 30.793034697430876037
11 17851.684 30.793034697430876037
11 17856.777 30.793034697430876037
11 17861.872 30.793034697430876037
11 17866.951 30.793034697430876037
11 17871.988 30.793034697430876037
11 17877.081 30.793034697430876037
11 17882.182 30.793034697430876037
11 17887.274 30.793034697430876037
11 17892.374 30.793034697430876037
11 17897.393 30.793034697430876037
11 17902.475 30.793034697430876037
11 17907.493 30.793034697430876037
11 17912.584 30.793034697430876037
11 17917.664 30.793034697430876037
11 17922.786 30.793034697430876037
11 17927.811 30.793034697430876037
11 17933.359 30.793034697430876037
11 17938.619 30.793034697430876037
11 17943.673 30.793034697430876037
11 17948.687 30.793034697430876037
11 17953.7 30.793034697430876037
11 17958.771 30.793034697430876037
11 17963.873 30.793034697430876037
11 17968.939 30.793034697430876037
11 17974.037 30.793034697430876037
11 17979.047 30.793034697430876037
11 17984.086 30.793034697430876037
11 17989.106 30.793034697430876037
11 17994.22 30.793034697430876037
11 17999.254 30.793034697430876037
11 18004.386 30.793034697430876037
11 18009.537 30.793034697430876037
11 18014.807 30.793034697430876037
11 18019.859 30.793034697430876037
11 18024.879 30.793034697430876037
11 18030.242 30.793034697430876037
11 18035.249 30.793034697430876037
11 18040.343 30.793034697430876037
11 18045.38 30.793034697430876037
11 18050.419 30.793034697430876037
11 18055.513 30.793034697430876037
11 18060.696 30.793034697430876037
11 18065.87 30.793034697430876037
11 18070.905 30.793034697430876037
11 18075.967 30.793034697430876037
11 18081.265 30.793034697430876037
11 18086.357 30.793034697430876037
11 18091.408 30.793034697430876037
11 18096.449 30.793034697430876037
11 18101.482 30.793034697430876037
11 18106.5 30.793034697430876037
11 18111.583 30.793034697430876037
11 18116.626 30.793034697430876037
11 18121.83 30.793034697430876037
11 18127.101 30.793034697430876037
